342	APOA1BP
343	GPATCH4
344	NES
345	CRABP2
346	MRPL24
347	SH2D2A
348	PEAR1
349	RP11-85G21.3
350	FCRL5
351	FCRL2
352	FCRL1
353	CD5L
354	CD1D
355	RP11-404O13.5
356	CD1C
357	CD1E
358	SPTA1
359	MNDA
360	PYHIN1
361	CADM3
362	ACKR1
363	FCER1A
364	APCS
365	CRP
366	FCRL6
367	TAGLN2
368	LINC01133
369	KCNJ10
370	PEA15
371	RP11-528G1.2
372	CD84
373	CD48
374	SLAMF7
375	LY9
376	ITLN1
377	ARHGAP30
378	B4GALT3
379	ADAMTS4
380	FCER1G
381	NR1I3
382	MPZ
383	FCGR2A
384	HSPA6
385	FCGR3A
386	FCGR2B
387	FCRLA
388	OLFML2B
389	SH2D1B
390	UAP1
391	DDR2
392	HSD17B7
393	NUF2
394	PBX1
395	POU2F1
396	CD247
397	CREG1
398	RCSD1
399	MPC2
400	DCAF6
401	TIPRL
402	SFT2D2
403	XCL2
404	XCL1
405	DPT
406	ATP1B1
407	SELP
408	SELL
409	SELE
410	RP1-79C4.4
411	FMO3
412	DNM3
413	DNM3OS
414	RP11-296O14.3
415	SERPINC1
416	CACYBP
417	MRPS14
418	KIAA0040
419	PAPPA2
420	SEC16B
421	RASAL2
422	ANGPTL1
423	TOR3A
424	QSOX1
425	IER5
426	GLUL
427	RGS16
428	NPL
429	LAMC2
430	NCF2
431	ARPC5
432	RGL1
433	TSEN15
434	C1orf21
435	FAM129A
436	IVNS1ABP
437	PRG4
438	TPR
439	PTGS2
440	RGS18
441	RGS1
442	RGS13
443	RGS2
444	UCHL5
445	B3GALT2
446	CFH
447	CFHR3
448	CFHR1
449	CFHR4
450	CFHR2
451	CFHR5
452	F13B
453	ASPM
454	CRB1
455	C1orf53
456	KIF14
457	C1orf106
458	LAD1
459	PHLDA3
460	CSRP1
461	LMOD1
462	ELF3
463	PTPN7
464	UBE2T
465	ADIPOR1
466	CHI3L1
467	CHIT1
468	BTG2
469	FMOD
470	PRELP
471	LAX1
472	ETNK2
473	GOLT1A
474	MDM4
475	TMCC2
476	RAB7B
477	CTSE
478	C1orf186
479	RP11-534L20.5
480	RASSF5
481	IL10
482	FCMR
483	PIGR
484	C1orf116
485	C4BPB
486	C4BPA
487	CD55
488	CR1
489	CR1L
490	CD46
491	C1orf132
492	CD34
493	PLXNA2
494	G0S2
